SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
1536.0,1653.0,1596.0,899.0,1630.0,2081.0,1356.0,1348.0
1864.0,1776.0,2363.0,2292.0,2468.0,3730.0,1934.0,2480.0
218156.0,190421.0,427652.0,214758.0,302872.0,315630.0,378108.0,372973.0
95.0,138.0,138.0,133.0,143.0,276.0,102.0,183.0
818.0,1191.0,963.0,672.0,1131.0,1733.0,692.0,1224.0
752.0,710.0,999.0,580.0,1002.0,1248.0,679.0,959.0
851.0,1132.0,1434.0,1153.0,1367.0,3004.0,813.0,1974.0
6.0,7.0,7.0,0.0,3.0,4.0,0.0,0.0
0.0,1.0,4.0,3.0,0.0,0.0,3.0,2.0
975.0,808.0,771.0,661.0,837.0,963.0,873.0,1030.0
0.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0
332.0,109.0,485.0,89.0,411.0,178.0,286.0,141.0
1160.0,913.0,1519.0,599.0,1388.0,1978.0,914.0,984.0
4.0,4.0,4.0,0.0,7.0,1.0,0.0,0.0
1860.0,956.0,2108.0,723.0,1281.0,996.0,1485.0,1002.0
722.0,620.0,848.0,523.0,856.0,1149.0,635.0,726.0
109.0,139.0,138.0,65.0,134.0,193.0,120.0,142.0
0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0
1271.0,1030.0,1370.0,885.0,1652.0,2088.0,1015.0,1299.0
2069.0,1877.0,2572.0,2274.0,2236.0,3807.0,1881.0,2671.0
887.0,816.0,993.0,483.0,1227.0,1262.0,8.0,13.0
4687.0,5376.0,6913.0,5128.0,6323.0,8977.0,4768.0,7924.0
333.0,305.0,451.0,250.0,320.0,376.0,363.0,348.0
1997.0,1575.0,2569.0,1205.0,2816.0,3307.0,1822.0,1831.0
2070.0,3397.0,1763.0,885.0,1808.0,3342.0,1165.0,1609.0
503.0,522.0,518.0,317.0,503.0,774.0,368.0,396.0
3106.0,2541.0,4085.0,2321.0,3913.0,5176.0,2297.0,2999.0
222.0,63.0,389.0,114.0,424.0,199.0,472.0,112.0
6526.0,1575.0,5336.0,1498.0,5069.0,1208.0,5341.0,1778.0
1015.0,1023.0,1095.0,602.0,1303.0,1514.0,829.0,822.0
9639.0,8804.0,9096.0,5778.0,8309.0,10690.0,7326.0,8748.0
1208.0,1116.0,1788.0,1043.0,2071.0,2410.0,1210.0,1415.0
1452.0,984.0,1762.0,707.0,1874.0,2060.0,1505.0,1118.0
226.0,142.0,275.0,153.0,299.0,297.0,277.0,231.0
2515.0,2754.0,2337.0,2351.0,3115.0,3358.0,2183.0,2964.0
336.0,295.0,369.0,143.0,399.0,480.0,228.0,207.0
428.0,303.0,483.0,192.0,530.0,443.0,380.0,339.0
770.0,854.0,1054.0,783.0,1104.0,1379.0,746.0,1041.0
406.0,361.0,770.0,440.0,799.0,965.0,412.0,414.0
331.0,229.0,264.0,126.0,240.0,271.0,241.0,190.0
1258.0,1289.0,1497.0,1299.0,1670.0,2205.0,1053.0,1653.0
594.0,450.0,975.0,541.0,802.0,704.0,435.0,479.0
757.0,1112.0,1256.0,823.0,1296.0,1810.0,879.0,1181.0
11.0,10.0,6.0,7.0,13.0,4.0,4.0,9.0
95.0,134.0,124.0,65.0,69.0,109.0,77.0,88.0
934.0,716.0,1014.0,621.0,1088.0,1117.0,867.0,843.0
190.0,108.0,276.0,84.0,152.0,190.0,199.0,186.0
578.0,498.0,546.0,286.0,523.0,691.0,238.0,301.0
3114.0,3533.0,3956.0,2480.0,3546.0,5689.0,2910.0,3588.0
26.0,16.0,21.0,5.0,23.0,23.0,23.0,9.0
1613.0,1301.0,1892.0,1105.0,1768.0,2034.0,1287.0,1235.0
1102.0,1101.0,1449.0,1056.0,1672.0,2291.0,1098.0,1224.0
597.0,348.0,775.0,439.0,642.0,518.0,651.0,574.0
714.0,510.0,728.0,441.0,830.0,751.0,524.0,521.0
5.0,10.0,1.0,3.0,4.0,2.0,1.0,4.0
183.0,279.0,273.0,201.0,320.0,315.0,246.0,201.0
2042.0,1927.0,2663.0,1381.0,2867.0,3237.0,2064.0,1890.0
7.0,14.0,12.0,2.0,7.0,4.0,2.0,1.0
0.0,3.0,0.0,1.0,2.0,6.0,0.0,2.0
270.0,322.0,406.0,163.0,525.0,577.0,273.0,268.0
5543.0,3333.0,6399.0,2983.0,7971.0,6813.0,4386.0,4449.0
22.0,4.0,23.0,1.0,65.0,18.0,18.0,1.0
724.0,598.0,782.0,431.0,768.0,1062.0,579.0,628.0
210.0,112.0,173.0,85.0,295.0,293.0,52.0,41.0
0.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0
1829.0,1527.0,1866.0,1061.0,1773.0,2042.0,1472.0,1548.0
155.0,25.0,157.0,30.0,89.0,89.0,219.0,105.0
22.0,6.0,8.0,3.0,13.0,3.0,18.0,10.0
1537.0,1445.0,1959.0,1185.0,1508.0,1784.0,1612.0,1705.0
2792.0,2045.0,3487.0,2004.0,3693.0,3592.0,3112.0,2636.0
1100.0,832.0,1138.0,766.0,513.0,381.0,932.0,749.0
703.0,396.0,566.0,123.0,528.0,526.0,647.0,237.0
2930.0,3683.0,2819.0,2432.0,3442.0,5562.0,2560.0,4118.0
1110.0,845.0,1108.0,655.0,1404.0,1141.0,894.0,791.0
101.0,47.0,27.0,31.0,58.0,43.0,55.0,52.0
23.0,15.0,19.0,13.0,17.0,21.0,9.0,19.0
3114.0,2596.0,2997.0,1784.0,3449.0,4615.0,2097.0,2729.0
850.0,656.0,846.0,462.0,788.0,1193.0,876.0,995.0
315.0,261.0,355.0,164.0,350.0,367.0,252.0,241.0
285.0,146.0,3356.0,855.0,262.0,162.0,467.0,347.0
255.0,208.0,268.0,246.0,324.0,374.0,280.0,243.0
63.0,65.0,71.0,58.0,74.0,77.0,47.0,35.0
1.0,0.0,3.0,7.0,16.0,27.0,3.0,3.0
3326.0,4395.0,3783.0,2512.0,3457.0,4922.0,2583.0,3643.0
65.0,5.0,8.0,0.0,9.0,2.0,24.0,0.0
314.0,332.0,320.0,171.0,264.0,468.0,222.0,464.0
1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0
3353.0,5423.0,2830.0,1636.0,3797.0,2944.0,2238.0,2300.0
22.0,25.0,101.0,40.0,30.0,27.0,70.0,44.0
1517.0,926.0,1399.0,338.0,2590.0,1345.0,1588.0,719.0
1356.0,2658.0,1592.0,1916.0,2005.0,4024.0,1272.0,2596.0
1459.0,974.0,1272.0,481.0,1423.0,1418.0,1142.0,782.0
11137.0,6620.0,11659.0,5319.0,11307.0,13568.0,11468.0,9157.0
373.0,291.0,413.0,170.0,403.0,432.0,329.0,246.0
196.0,181.0,311.0,181.0,329.0,395.0,177.0,206.0
2269.0,4046.0,1925.0,2507.0,1984.0,5537.0,1878.0,5124.0
143.0,176.0,90.0,60.0,7.0,3.0,105.0,173.0
562.0,464.0,553.0,376.0,543.0,691.0,492.0,655.0
19.0,6.0,22.0,8.0,15.0,25.0,24.0,13.0
588.0,567.0,662.0,457.0,610.0,1068.0,389.0,779.0
3.0,2.0,6.0,2.0,2.0,4.0,2.0,4.0
5.0,4.0,4.0,1.0,7.0,2.0,1.0,4.0
527.0,443.0,563.0,357.0,587.0,652.0,455.0,538.0
9.0,22.0,47.0,71.0,13.0,42.0,18.0,85.0
1443.0,1806.0,1032.0,759.0,1363.0,2386.0,1088.0,1556.0
1228.0,1276.0,1378.0,1016.0,1793.0,2068.0,1050.0,1302.0
404.0,261.0,461.0,226.0,302.0,359.0,351.0,279.0
7166.0,8589.0,11992.0,8443.0,8451.0,16283.0,9649.0,14506.0
1947.0,1718.0,2425.0,1378.0,2380.0,3498.0,1862.0,1891.0
5.0,1.0,4.0,1.0,5.0,4.0,3.0,4.0
146.0,133.0,156.0,96.0,186.0,274.0,147.0,143.0
2564.0,2576.0,3094.0,2034.0,2940.0,3839.0,2438.0,2695.0
205.0,124.0,206.0,104.0,188.0,272.0,178.0,168.0
674.0,637.0,697.0,481.0,805.0,966.0,532.0,692.0
62.0,16.0,120.0,29.0,247.0,184.0,88.0,85.0
2903.0,2739.0,2997.0,1614.0,2028.0,2903.0,2000.0,2488.0
1597.0,1657.0,2041.0,1173.0,2123.0,2825.0,1451.0,1758.0
2603.0,2406.0,2881.0,2069.0,3485.0,3815.0,2473.0,3350.0
1340.0,1261.0,1476.0,1068.0,1576.0,2238.0,1171.0,1451.0
1025.0,840.0,1159.0,549.0,1519.0,1433.0,856.0,721.0
78.0,83.0,59.0,29.0,66.0,62.0,42.0,63.0
1937.0,1549.0,2110.0,1219.0,2267.0,2767.0,1858.0,1830.0
96.0,108.0,97.0,85.0,91.0,128.0,89.0,79.0
230.0,338.0,430.0,368.0,426.0,836.0,254.0,398.0
460.0,502.0,510.0,357.0,569.0,686.0,373.0,490.0
1655.0,1993.0,2171.0,1574.0,2429.0,3179.0,1574.0,1915.0
23.0,33.0,23.0,6.0,9.0,37.0,9.0,23.0
7.0,2.0,5.0,8.0,11.0,7.0,2.0,5.0
654.0,766.0,618.0,474.0,863.0,1431.0,497.0,641.0
1079.0,1615.0,1324.0,1867.0,1347.0,4678.0,1135.0,2828.0
1322.0,1162.0,1558.0,997.0,1412.0,1847.0,1166.0,1516.0
10748.0,11310.0,12572.0,7587.0,13761.0,20214.0,9077.0,10919.0
22.0,33.0,22.0,17.0,28.0,11.0,22.0,9.0
210.0,231.0,287.0,192.0,251.0,237.0,168.0,236.0
3.0,11.0,8.0,6.0,19.0,8.0,6.0,13.0
302.0,237.0,300.0,146.0,339.0,351.0,232.0,189.0
