entrezid,0,1,2,3,4,5,6,7
10181,3095.0,2413.0,3940.0,1763.0,3701.0,3895.0,2801.0,2827.0
9108,25.0,28.0,34.0,35.0,23.0,50.0,15.0,32.0
6542,61.0,51.0,13.0,3.0,44.0,104.0,17.0,51.0
381,1589.0,1893.0,1519.0,1136.0,1747.0,2545.0,1396.0,1896.0
23098,311.0,354.0,326.0,168.0,370.0,342.0,357.0,310.0
26073,1501.0,1570.0,1618.0,981.0,1746.0,2298.0,1129.0,1261.0
23129,4107.0,4116.0,3858.0,2064.0,5515.0,5631.0,2670.0,2561.0
204,1349.0,1098.0,1549.0,733.0,1568.0,2126.0,1040.0,903.0
952,8.0,8.0,2.0,3.0,8.0,12.0,4.0,2.0
2288,552.0,638.0,727.0,396.0,870.0,910.0,507.0,471.0
23028,1345.0,1018.0,1705.0,788.0,1796.0,1503.0,1195.0,1011.0
10180,1246.0,1002.0,2084.0,930.0,1715.0,1609.0,1209.0,975.0
84254,98.0,58.0,59.0,38.0,87.0,81.0,156.0,66.0
5965,1376.0,1618.0,1714.0,1127.0,1293.0,2202.0,1177.0,1745.0
55610,567.0,383.0,533.0,365.0,638.0,660.0,464.0,438.0
126393,14175.0,12857.0,13950.0,8278.0,11255.0,10302.0,15995.0,12729.0
115703,206.0,106.0,102.0,62.0,78.0,65.0,119.0,89.0
4706,330.0,340.0,486.0,265.0,411.0,566.0,296.0,326.0
5166,82.0,835.0,127.0,1130.0,226.0,479.0,647.0,3273.0
85413,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0
51364,19.0,8.0,28.0,8.0,25.0,15.0,20.0,13.0
340273,33.0,9.0,75.0,12.0,9.0,13.0,26.0,7.0
10165,141.0,141.0,104.0,110.0,226.0,248.0,164.0,116.0
7982,522.0,387.0,1077.0,288.0,600.0,588.0,548.0,357.0
996,1662.0,1367.0,2114.0,1041.0,1980.0,2173.0,1823.0,1628.0
6521,9.0,7.0,12.0,3.0,17.0,12.0,8.0,6.0
3052,444.0,345.0,541.0,289.0,651.0,570.0,361.0,401.0
1856,1330.0,954.0,1146.0,517.0,1330.0,1034.0,993.0,913.0
5976,2288.0,2284.0,2515.0,1544.0,2227.0,3318.0,1992.0,2494.0
8935,881.0,710.0,781.0,499.0,752.0,927.0,704.0,846.0
292,1581.0,1253.0,1555.0,839.0,1472.0,1664.0,1115.0,1166.0
55013,200.0,206.0,242.0,206.0,194.0,192.0,209.0,245.0
5439,631.0,693.0,719.0,378.0,730.0,966.0,481.0,490.0
56919,440.0,437.0,554.0,357.0,530.0,762.0,402.0,630.0
221981,10.0,12.0,6.0,5.0,8.0,18.0,12.0,30.0
3980,370.0,170.0,370.0,178.0,402.0,442.0,247.0,203.0
79657,334.0,346.0,318.0,119.0,596.0,479.0,350.0,368.0
6296,24.0,26.0,35.0,24.0,33.0,26.0,34.0,12.0
81691,78.0,61.0,89.0,56.0,114.0,64.0,104.0,69.0
57019,438.0,373.0,620.0,314.0,522.0,740.0,324.0,478.0
56928,748.0,656.0,767.0,377.0,747.0,1090.0,583.0,732.0
80256,801.0,634.0,853.0,408.0,991.0,914.0,615.0,621.0
51226,1171.0,949.0,1236.0,746.0,931.0,1001.0,1037.0,900.0
5577,227.0,247.0,279.0,328.0,284.0,385.0,212.0,417.0
10943,441.0,547.0,488.0,338.0,579.0,690.0,381.0,378.0
1387,2660.0,1793.0,3240.0,1690.0,3210.0,4177.0,2479.0,2404.0
9256,213.0,128.0,120.0,134.0,150.0,276.0,157.0,116.0
4353,3.0,30.0,7.0,1.0,0.0,2.0,8.0,3.0
6936,313.0,303.0,292.0,239.0,343.0,411.0,273.0,277.0
84058,241.0,214.0,267.0,158.0,233.0,420.0,171.0,239.0
54677,503.0,396.0,344.0,191.0,629.0,479.0,485.0,437.0
5244,67.0,15.0,61.0,16.0,18.0,17.0,49.0,26.0
55904,1863.0,1563.0,1921.0,1107.0,2491.0,2868.0,1704.0,1957.0
57414,741.0,620.0,1121.0,562.0,1113.0,1476.0,900.0,626.0
30812,10.0,2.0,5.0,0.0,4.0,3.0,3.0,8.0
25998,543.0,431.0,790.0,393.0,657.0,830.0,574.0,558.0
7748,210.0,212.0,298.0,161.0,321.0,281.0,206.0,126.0
23077,3126.0,2627.0,3159.0,2108.0,3415.0,3939.0,2792.0,2203.0
26224,1493.0,1459.0,1472.0,1359.0,1192.0,1920.0,1305.0,1727.0
3683,5.0,0.0,1.0,3.0,9.0,2.0,3.0,3.0
5164,954.0,877.0,1254.0,681.0,1413.0,1243.0,1147.0,1137.0
3675,701.0,795.0,1582.0,1106.0,1392.0,2547.0,1253.0,1343.0
7543,792.0,584.0,766.0,404.0,852.0,1287.0,947.0,990.0
3920,5053.0,4502.0,6271.0,3792.0,5773.0,6753.0,4612.0,5082.0
3674,9.0,13.0,24.0,5.0,11.0,5.0,10.0,7.0
51666,4.0,6.0,4.0,2.0,8.0,7.0,16.0,5.0
51573,2249.0,2181.0,3008.0,2143.0,3340.0,4141.0,1979.0,2357.0
55049,544.0,481.0,416.0,195.0,261.0,363.0,429.0,412.0
9244,154.0,112.0,91.0,82.0,92.0,168.0,269.0,301.0
114881,226.0,178.0,229.0,95.0,202.0,103.0,179.0,83.0
26022,3108.0,2545.0,3486.0,2057.0,3876.0,4817.0,2990.0,3128.0
9020,335.0,294.0,333.0,115.0,415.0,269.0,252.0,129.0
54972,528.0,369.0,604.0,282.0,832.0,569.0,405.0,240.0
163,7030.0,5372.0,7725.0,5197.0,7765.0,9324.0,5601.0,6910.0
10127,527.0,508.0,612.0,377.0,665.0,873.0,477.0,511.0
6376,9.0,19.0,9.0,6.0,9.0,20.0,18.0,37.0
64847,1765.0,1372.0,1340.0,752.0,1610.0,1767.0,1418.0,1384.0
8913,100.0,46.0,48.0,11.0,124.0,79.0,89.0,24.0
51330,523.0,347.0,708.0,250.0,767.0,1410.0,645.0,435.0
4293,8.0,5.0,12.0,8.0,11.0,8.0,2.0,3.0
5898,1833.0,949.0,1094.0,568.0,1629.0,1135.0,1084.0,812.0
55971,214.0,151.0,260.0,150.0,272.0,268.0,247.0,179.0
80853,381.0,299.0,461.0,266.0,459.0,314.0,444.0,659.0
2115,190.0,109.0,167.0,133.0,136.0,333.0,352.0,281.0
55750,251.0,254.0,292.0,173.0,444.0,440.0,208.0,255.0
221,885.0,1132.0,1380.0,847.0,1439.0,2533.0,589.0,873.0
55001,9.0,4.0,6.0,2.0,2.0,6.0,7.0,3.0
57157,946.0,718.0,1612.0,711.0,1267.0,1125.0,1419.0,974.0
10344,3.0,3.0,8.0,1.0,8.0,9.0,2.0,2.0
9855,709.0,903.0,971.0,860.0,812.0,1364.0,770.0,1283.0
79017,195.0,186.0,196.0,84.0,254.0,312.0,150.0,119.0
10926,132.0,72.0,104.0,74.0,90.0,82.0,122.0,63.0
6915,76.0,54.0,105.0,46.0,65.0,49.0,72.0,49.0
3475,922.0,788.0,1022.0,597.0,1662.0,1865.0,1135.0,1106.0
56891,1.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0
1352,184.0,140.0,200.0,141.0,220.0,336.0,128.0,160.0
9569,337.0,281.0,380.0,164.0,274.0,283.0,272.0,371.0
54623,985.0,879.0,1550.0,719.0,1562.0,1435.0,1114.0,964.0
27072,2045.0,1560.0,2949.0,1410.0,2865.0,3310.0,2122.0,2087.0
9912,42.0,29.0,33.0,20.0,52.0,63.0,57.0,61.0
60528,836.0,931.0,1008.0,636.0,1253.0,1537.0,629.0,948.0
85477,18.0,29.0,35.0,12.0,18.0,65.0,38.0,20.0
414,538.0,423.0,591.0,371.0,664.0,653.0,548.0,646.0
8228,161.0,155.0,176.0,105.0,223.0,237.0,168.0,164.0
8735,5.0,37.0,0.0,1.0,5.0,19.0,1.0,22.0
79602,1055.0,1009.0,1170.0,894.0,1174.0,1576.0,901.0,1114.0
51265,72.0,56.0,90.0,80.0,100.0,78.0,76.0,48.0
151531,2.0,4.0,5.0,0.0,3.0,1.0,0.0,2.0
57787,641.0,654.0,925.0,519.0,1247.0,1174.0,754.0,827.0
8842,3.0,2.0,6.0,1.0,3.0,3.0,1.0,2.0
115098,633.0,715.0,707.0,402.0,797.0,1182.0,486.0,601.0
5048,3486.0,3399.0,4955.0,2670.0,4943.0,5940.0,3468.0,3959.0
4843,0.0,2.0,0.0,0.0,2.0,2.0,5.0,1.0
1770,1.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0
9703,6595.0,5389.0,7849.0,4289.0,7838.0,10225.0,5646.0,6351.0
8522,378.0,153.0,304.0,37.0,282.0,180.0,1233.0,793.0
79090,140.0,155.0,124.0,118.0,130.0,178.0,109.0,91.0
4145,3.0,3.0,4.0,1.0,2.0,3.0,3.0,5.0
974,1.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0
54879,274.0,172.0,282.0,171.0,302.0,534.0,256.0,361.0
5080,29.0,62.0,32.0,11.0,29.0,60.0,65.0,42.0
113000,278.0,265.0,222.0,137.0,341.0,415.0,221.0,265.0
64285,2000.0,1978.0,1951.0,983.0,1940.0,2494.0,1657.0,1957.0
55692,792.0,659.0,766.0,430.0,857.0,865.0,632.0,623.0
9254,21.0,24.0,24.0,29.0,12.0,15.0,18.0,37.0
8938,6.0,6.0,6.0,14.0,25.0,10.0,14.0,7.0
115939,655.0,565.0,632.0,317.0,602.0,947.0,529.0,567.0
9091,710.0,669.0,694.0,361.0,651.0,963.0,528.0,799.0
57585,615.0,679.0,771.0,383.0,663.0,772.0,481.0,719.0
7005,1522.0,2112.0,1701.0,1244.0,1350.0,2288.0,1069.0,1778.0
55735,880.0,885.0,1095.0,611.0,1375.0,1566.0,917.0,797.0
2328,782.0,826.0,2205.0,1633.0,223.0,335.0,277.0,286.0
29116,368.0,247.0,535.0,185.0,520.0,462.0,327.0,253.0
27035,11.0,15.0,7.0,8.0,10.0,22.0,4.0,7.0
1870,4.0,6.0,6.0,3.0,3.0,5.0,3.0,2.0
5689,1674.0,1494.0,1789.0,1115.0,1595.0,1942.0,1329.0,1387.0
6853,7.0,23.0,24.0,15.0,15.0,23.0,13.0,22.0
3720,274.0,260.0,283.0,227.0,300.0,536.0,232.0,391.0
6792,323.0,293.0,585.0,198.0,428.0,582.0,370.0,343.0
57172,2.0,4.0,13.0,2.0,14.0,4.0,10.0,9.0
728642,574.0,559.0,657.0,336.0,345.0,401.0,676.0,903.0
65220,1345.0,2061.0,1441.0,1443.0,1357.0,2352.0,1134.0,2516.0
9940,8.0,3.0,13.0,5.0,6.0,4.0,8.0,18.0
9265,1746.0,3230.0,3066.0,3432.0,2924.0,8788.0,2096.0,5538.0
53616,28.0,19.0,18.0,20.0,15.0,19.0,20.0,12.0
6856,1959.0,1841.0,1966.0,1707.0,1827.0,2637.0,1841.0,2137.0
1534,594.0,538.0,645.0,336.0,565.0,802.0,424.0,442.0
9043,2688.0,2195.0,3950.0,1736.0,3465.0,3951.0,3166.0,3017.0
1951,55.0,76.0,127.0,85.0,104.0,134.0,59.0,141.0
10157,478.0,972.0,549.0,670.0,423.0,979.0,451.0,1095.0
55200,8.0,12.0,7.0,3.0,16.0,21.0,10.0,16.0
51188,112.0,157.0,85.0,106.0,105.0,146.0,113.0,142.0
84954,156.0,124.0,167.0,87.0,198.0,284.0,133.0,182.0
4257,2589.0,2703.0,3127.0,1895.0,8070.0,8505.0,2426.0,2683.0
1407,296.0,308.0,269.0,208.0,288.0,386.0,318.0,237.0
8993,0.0,6.0,1.0,1.0,1.0,1.0,0.0,3.0
4784,14126.0,9551.0,13469.0,6036.0,12014.0,11986.0,12268.0,10604.0
6482,2256.0,1341.0,1760.0,554.0,2489.0,2204.0,1585.0,1155.0
64386,19.0,22.0,31.0,6.0,23.0,49.0,35.0,19.0
9235,179.0,82.0,210.0,63.0,66.0,66.0,195.0,97.0
5310,5059.0,5956.0,5307.0,3517.0,4361.0,7109.0,4276.0,6326.0
23542,15.0,22.0,21.0,13.0,19.0,18.0,18.0,31.0
9862,1320.0,1003.0,1229.0,659.0,1355.0,1726.0,1089.0,1192.0
23221,644.0,727.0,956.0,562.0,837.0,1261.0,736.0,1194.0
54497,796.0,639.0,799.0,505.0,778.0,971.0,585.0,766.0
7095,4233.0,4365.0,5671.0,3341.0,6442.0,8699.0,5176.0,4949.0
6224,13036.0,11874.0,13193.0,7244.0,11543.0,13258.0,9597.0,9408.0
7812,15086.0,12706.0,19963.0,11668.0,20102.0,22009.0,13922.0,15094.0
9690,1932.0,2021.0,2275.0,1634.0,2561.0,3222.0,1760.0,1995.0
5980,5320.0,10463.0,6250.0,7792.0,6761.0,11796.0,5883.0,12104.0
10178,18.0,7.0,2.0,3.0,4.0,1.0,1.0,42.0
10747,40.0,30.0,60.0,24.0,46.0,40.0,46.0,33.0
389434,12.0,30.0,4.0,1.0,1.0,22.0,5.0,13.0
199870,150.0,187.0,173.0,146.0,165.0,211.0,154.0,224.0
80342,3.0,6.0,6.0,3.0,10.0,9.0,3.0,7.0
29954,381.0,460.0,546.0,285.0,431.0,627.0,408.0,382.0
51534,829.0,675.0,1092.0,532.0,1201.0,1272.0,760.0,846.0
51085,10.0,21.0,6.0,2.0,3.0,4.0,4.0,4.0
9031,2827.0,2653.0,3352.0,2041.0,3688.0,3848.0,2866.0,2801.0
10048,1510.0,2278.0,1804.0,2001.0,2124.0,3061.0,1689.0,3084.0
51513,30.0,15.0,22.0,11.0,17.0,12.0,18.0,10.0
83932,194.0,143.0,203.0,105.0,216.0,181.0,183.0,204.0
51603,959.0,950.0,1177.0,688.0,1089.0,1005.0,836.0,710.0
8798,262.0,189.0,326.0,142.0,314.0,349.0,213.0,180.0
7756,2884.0,2599.0,2943.0,1669.0,3710.0,4663.0,1916.0,2208.0
7384,1649.0,1795.0,1587.0,1379.0,1940.0,3151.0,1337.0,2004.0
83930,888.0,800.0,884.0,504.0,964.0,1034.0,602.0,680.0
928,3133.0,3438.0,3747.0,3527.0,2633.0,5096.0,3486.0,5254.0
9918,1407.0,1139.0,1356.0,827.0,1409.0,1537.0,1106.0,1385.0
25900,1471.0,1280.0,1679.0,865.0,897.0,997.0,1194.0,1296.0
2696,27.0,13.0,30.0,12.0,22.0,21.0,24.0,19.0
51533,61.0,71.0,81.0,71.0,71.0,64.0,85.0,87.0
11188,2581.0,2022.0,3157.0,1472.0,3739.0,3525.0,2585.0,2276.0
80199,273.0,226.0,312.0,170.0,208.0,265.0,205.0,325.0
3423,2447.0,2016.0,3319.0,1999.0,3261.0,4852.0,2668.0,3408.0
5646,7.0,11.0,12.0,6.0,19.0,37.0,35.0,26.0
7752,140.0,128.0,166.0,108.0,183.0,227.0,121.0,113.0
920,37.0,18.0,97.0,53.0,122.0,131.0,31.0,17.0
10233,151.0,103.0,210.0,111.0,179.0,185.0,159.0,118.0
3077,508.0,302.0,674.0,303.0,503.0,580.0,487.0,466.0
22955,770.0,660.0,858.0,531.0,995.0,1110.0,637.0,729.0
2534,1783.0,1707.0,1607.0,882.0,2566.0,2629.0,1353.0,1541.0
3097,1884.0,1023.0,1633.0,835.0,1992.0,2092.0,1771.0,1286.0
2326,16.0,33.0,70.0,46.0,0.0,22.0,16.0,17.0
6924,1470.0,1365.0,1388.0,954.0,1533.0,1949.0,1096.0,1307.0
11313,451.0,500.0,518.0,265.0,579.0,728.0,399.0,441.0
1185,879.0,666.0,655.0,397.0,719.0,864.0,658.0,721.0
9902,17930.0,13855.0,25972.0,10769.0,17814.0,19903.0,16783.0,15460.0
654364,307.0,195.0,298.0,80.0,274.0,349.0,270.0,160.0
10867,3095.0,2676.0,3524.0,2493.0,3490.0,5306.0,3913.0,4755.0
55727,721.0,462.0,606.0,398.0,686.0,1054.0,528.0,606.0
9546,198.0,220.0,301.0,143.0,258.0,275.0,178.0,224.0
54903,207.0,145.0,226.0,100.0,159.0,182.0,161.0,127.0
51099,586.0,1488.0,820.0,1040.0,1219.0,1886.0,581.0,1656.0
26993,823.0,694.0,963.0,430.0,1072.0,1007.0,685.0,705.0
54799,473.0,282.0,405.0,224.0,464.0,409.0,404.0,361.0
51096,489.0,465.0,369.0,295.0,444.0,553.0,321.0,380.0
54476,1680.0,1455.0,1932.0,1070.0,2206.0,2572.0,1579.0,1668.0
54902,428.0,369.0,466.0,329.0,459.0,567.0,370.0,428.0
5725,3395.0,3914.0,3193.0,2347.0,4152.0,5945.0,2853.0,3929.0
8193,25.0,12.0,18.0,18.0,10.0,48.0,6.0,11.0
9066,174.0,87.0,157.0,69.0,217.0,178.0,269.0,95.0
23395,547.0,454.0,448.0,278.0,436.0,574.0,389.0,366.0
5286,1181.0,1300.0,1462.0,843.0,1906.0,2810.0,1419.0,1963.0
5329,399.0,368.0,489.0,250.0,347.0,541.0,380.0,399.0
54443,265.0,251.0,239.0,138.0,346.0,334.0,276.0,158.0
58525,1536.0,1653.0,1596.0,899.0,1630.0,2081.0,1356.0,1348.0
23637,1864.0,1776.0,2363.0,2292.0,2468.0,3730.0,1934.0,2480.0
1634,218156.0,190421.0,427652.0,214758.0,302872.0,315630.0,378108.0,372973.0
54814,95.0,138.0,138.0,133.0,143.0,276.0,102.0,183.0
5536,818.0,1191.0,963.0,672.0,1131.0,1733.0,692.0,1224.0
23177,752.0,710.0,999.0,580.0,1002.0,1248.0,679.0,959.0
8491,851.0,1132.0,1434.0,1153.0,1367.0,3004.0,813.0,1974.0
27033,6.0,7.0,7.0,0.0,3.0,4.0,0.0,0.0
7305,0.0,1.0,4.0,3.0,0.0,0.0,3.0,2.0
57146,975.0,808.0,771.0,661.0,837.0,963.0,873.0,1030.0
2556,0.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0
672,332.0,109.0,485.0,89.0,411.0,178.0,286.0,141.0
2067,1160.0,913.0,1519.0,599.0,1388.0,1978.0,914.0,984.0
933,4.0,4.0,4.0,0.0,7.0,1.0,0.0,0.0
7869,1860.0,956.0,2108.0,723.0,1281.0,996.0,1485.0,1002.0
51360,722.0,620.0,848.0,523.0,856.0,1149.0,635.0,726.0
4007,109.0,139.0,138.0,65.0,134.0,193.0,120.0,142.0
4057,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0
2137,1271.0,1030.0,1370.0,885.0,1652.0,2088.0,1015.0,1299.0
60481,2069.0,1877.0,2572.0,2274.0,2236.0,3807.0,1881.0,2671.0
8284,887.0,816.0,993.0,483.0,1227.0,1262.0,8.0,13.0
57658,4687.0,5376.0,6913.0,5128.0,6323.0,8977.0,4768.0,7924.0
55148,333.0,305.0,451.0,250.0,320.0,376.0,363.0,348.0
11183,1997.0,1575.0,2569.0,1205.0,2816.0,3307.0,1822.0,1831.0
30845,2070.0,3397.0,1763.0,885.0,1808.0,3342.0,1165.0,1609.0
5704,503.0,522.0,518.0,317.0,503.0,774.0,368.0,396.0
23324,3106.0,2541.0,4085.0,2321.0,3913.0,5176.0,2297.0,2999.0
57709,222.0,63.0,389.0,114.0,424.0,199.0,472.0,112.0
5010,6526.0,1575.0,5336.0,1498.0,5069.0,1208.0,5341.0,1778.0
51629,1015.0,1023.0,1095.0,602.0,1303.0,1514.0,829.0,822.0
9961,9639.0,8804.0,9096.0,5778.0,8309.0,10690.0,7326.0,8748.0
51667,1208.0,1116.0,1788.0,1043.0,2071.0,2410.0,1210.0,1415.0
5238,1452.0,984.0,1762.0,707.0,1874.0,2060.0,1505.0,1118.0
112611,226.0,142.0,275.0,153.0,299.0,297.0,277.0,231.0
1195,2515.0,2754.0,2337.0,2351.0,3115.0,3358.0,2183.0,2964.0
55703,336.0,295.0,369.0,143.0,399.0,480.0,228.0,207.0
23357,428.0,303.0,483.0,192.0,530.0,443.0,380.0,339.0
9604,770.0,854.0,1054.0,783.0,1104.0,1379.0,746.0,1041.0
1774,406.0,361.0,770.0,440.0,799.0,965.0,412.0,414.0
1663,331.0,229.0,264.0,126.0,240.0,271.0,241.0,190.0
50865,1258.0,1289.0,1497.0,1299.0,1670.0,2205.0,1053.0,1653.0
9052,594.0,450.0,975.0,541.0,802.0,704.0,435.0,479.0
10046,757.0,1112.0,1256.0,823.0,1296.0,1810.0,879.0,1181.0
923,11.0,10.0,6.0,7.0,13.0,4.0,4.0,9.0
10460,95.0,134.0,124.0,65.0,69.0,109.0,77.0,88.0
23376,934.0,716.0,1014.0,621.0,1088.0,1117.0,867.0,843.0
23649,190.0,108.0,276.0,84.0,152.0,190.0,199.0,186.0
23144,578.0,498.0,546.0,286.0,523.0,691.0,238.0,301.0
823,3114.0,3533.0,3956.0,2480.0,3546.0,5689.0,2910.0,3588.0
55,26.0,16.0,21.0,5.0,23.0,23.0,23.0,9.0
4190,1613.0,1301.0,1892.0,1105.0,1768.0,2034.0,1287.0,1235.0
10463,1102.0,1101.0,1449.0,1056.0,1672.0,2291.0,1098.0,1224.0
10903,597.0,348.0,775.0,439.0,642.0,518.0,651.0,574.0
1355,714.0,510.0,728.0,441.0,830.0,751.0,524.0,521.0
440193,5.0,10.0,1.0,3.0,4.0,2.0,1.0,4.0
10138,183.0,279.0,273.0,201.0,320.0,315.0,246.0,201.0
10771,2042.0,1927.0,2663.0,1381.0,2867.0,3237.0,2064.0,1890.0
7454,7.0,14.0,12.0,2.0,7.0,4.0,2.0,1.0
1800,0.0,3.0,0.0,1.0,2.0,6.0,0.0,2.0
637,270.0,322.0,406.0,163.0,525.0,577.0,273.0,268.0
9782,5543.0,3333.0,6399.0,2983.0,7971.0,6813.0,4386.0,4449.0
29881,22.0,4.0,23.0,1.0,65.0,18.0,18.0,1.0
64132,724.0,598.0,782.0,431.0,768.0,1062.0,579.0,628.0
84220,210.0,112.0,173.0,85.0,295.0,293.0,52.0,41.0
81551,0.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0
23386,1829.0,1527.0,1866.0,1061.0,1773.0,2042.0,1472.0,1548.0
55349,155.0,25.0,157.0,30.0,89.0,89.0,219.0,105.0
53832,22.0,6.0,8.0,3.0,13.0,3.0,18.0,10.0
55830,1537.0,1445.0,1959.0,1185.0,1508.0,1784.0,1612.0,1705.0
27032,2792.0,2045.0,3487.0,2004.0,3693.0,3592.0,3112.0,2636.0
3479,1100.0,832.0,1138.0,766.0,513.0,381.0,932.0,749.0
92745,703.0,396.0,566.0,123.0,528.0,526.0,647.0,237.0
10928,2930.0,3683.0,2819.0,2432.0,3442.0,5562.0,2560.0,4118.0
22902,1110.0,845.0,1108.0,655.0,1404.0,1141.0,894.0,791.0
1272,101.0,47.0,27.0,31.0,58.0,43.0,55.0,52.0
6556,23.0,15.0,19.0,13.0,17.0,21.0,9.0,19.0
25937,3114.0,2596.0,2997.0,1784.0,3449.0,4615.0,2097.0,2729.0
8540,850.0,656.0,846.0,462.0,788.0,1193.0,876.0,995.0
63932,315.0,261.0,355.0,164.0,350.0,367.0,252.0,241.0
477,285.0,146.0,3356.0,855.0,262.0,162.0,467.0,347.0
55622,255.0,208.0,268.0,246.0,324.0,374.0,280.0,243.0
147948,63.0,65.0,71.0,58.0,74.0,77.0,47.0,35.0
23584,1.0,0.0,3.0,7.0,16.0,27.0,3.0,3.0
23187,3326.0,4395.0,3783.0,2512.0,3457.0,4922.0,2583.0,3643.0
1591,65.0,5.0,8.0,0.0,9.0,2.0,24.0,0.0
56981,314.0,332.0,320.0,171.0,264.0,468.0,222.0,464.0
57586,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0
6591,3353.0,5423.0,2830.0,1636.0,3797.0,2944.0,2238.0,2300.0
972,22.0,25.0,101.0,40.0,30.0,27.0,70.0,44.0
3082,1517.0,926.0,1399.0,338.0,2590.0,1345.0,1588.0,719.0
54764,1356.0,2658.0,1592.0,1916.0,2005.0,4024.0,1272.0,2596.0
23154,1459.0,974.0,1272.0,481.0,1423.0,1418.0,1142.0,782.0
25960,11137.0,6620.0,11659.0,5319.0,11307.0,13568.0,11468.0,9157.0
55734,373.0,291.0,413.0,170.0,403.0,432.0,329.0,246.0
4331,196.0,181.0,311.0,181.0,329.0,395.0,177.0,206.0
23034,2269.0,4046.0,1925.0,2507.0,1984.0,5537.0,1878.0,5124.0
864,143.0,176.0,90.0,60.0,7.0,3.0,105.0,173.0
4361,562.0,464.0,553.0,376.0,543.0,691.0,492.0,655.0
58473,19.0,6.0,22.0,8.0,15.0,25.0,24.0,13.0
1992,588.0,567.0,662.0,457.0,610.0,1068.0,389.0,779.0
64816,3.0,2.0,6.0,2.0,2.0,4.0,2.0,4.0
11136,5.0,4.0,4.0,1.0,7.0,2.0,1.0,4.0
6683,527.0,443.0,563.0,357.0,587.0,652.0,455.0,538.0
9369,9.0,22.0,47.0,71.0,13.0,42.0,18.0,85.0
114879,1443.0,1806.0,1032.0,759.0,1363.0,2386.0,1088.0,1556.0
9716,1228.0,1276.0,1378.0,1016.0,1793.0,2068.0,1050.0,1302.0
1373,404.0,261.0,461.0,226.0,302.0,359.0,351.0,279.0
